Sequence Number,Channel1,Channel2,Channel3
49850,28097,32148,34436
49900,39968,31664,31004
49950,7325,31852,37456
50000,27992,33308,33836
50050,23633,34016,28476
50100,56952,30386,32108
50150,27404,33440,36480
50200,31712,32120,32836
50250,49584,35616,37824
50300,58244,37096,36224
50350,52460,33564,35888
50400,23032,36452,26596
50450,24,33056,36044
50500,22400,39328,29204
50550,20762,32660,36288
50600,28384,31948,31820
50650,25344,29908,35368
50700,53220,32720,32500
50750,35700,30496,38884
50800,28262,29268,32084
50850,25692,33068,28136
50900,31996,34768,28456
50950,54860,32989,27810
51000,60472,32436,33650
51050,51208,30677,31753
51100,52112,32860,29764
51150,21072,33776,33576
51200,26490,34234,31084
51250,54668,35100,35456
51300,46836,31812,30704
51350,58720,33628,36280
51400,52928,32536,31178
51450,43372,31424,31560
51500,24732,32388,32636
51550,40000,32848,32728
51600,23149,31140,32208
51650,24520,32780,34360
51700,29950,33836,33920
51750,27093,31716,35268
51800,21677,31628,33868
51850,31184,32076,34844
51900,59968,32484,32160
51950,33394,34492,35516
52000,34756,35248,32343
52050,36456,32414,32684
52100,41600,32844,32844
52150,29384,32570,32116
52200,31288,32696,31436
52250,44404,33616,33150
52300,32612,33252,33510
52350,34248,32928,31910
52400,32856,32836,32681
52450,28484,32974,32960
52500,32976,33140,32612
52550,32692,32868,32960
52600,33036,32762,33224
52650,32295,32417,33066
52700,32653,32740,31876
52750,32788,32326,33168
52800,33552,32316,32560
52850,35652,33952,32084
52900,32848,33670,33030
52950,31724,32636,32832
53000,32712,32708,33341
53050,33560,32128,32914
53100,33196,32766,32393
53150,29958,32093,32896
53200,32908,32860,32648
53250,32452,32254,33329
53300,32360,33012,32780
53350,33408,32600,30742
53400,31562,32824,32868
53450,32488,32640,33470
53500,35068,31984,33044
53550,33040,32772,32348
53600,32826,32866,32199
53650,32050,33372,33508
53700,33936,33006,32826
53750,32492,32388,33794
53800,35981,32956,32288
53850,32644,32927,32936
53900,32714,32568,33024
53950,34944,32660,32432
54000,31912,32908,33376
54050,33048,32238,32272
54100,33420,32612,31896
54150,34472,32775,32695
54200,31520,32961,33348
54250,33872,32858,33180
54300,32572,33164,33132
54350,33884,33092,32330
54400,33764,32722,33220
54450,35616,33444,32810
54500,32596,32892,32774
54550,30776,33079,32676
54600,34376,31893,33016
54650,32572,32736,32909
54700,32596,32038,32053
54750,31344,32783,33260
54800,32256,32928,32454
54850,32342,32996,32920
54900,30324,32870,33406
54950,31840,32864,32652
55000,36784,32782,32481
55050,32268,32580,32584
55100,32364,33409,32728
55150,35772,32820,32620
55200,32580,32574,33064
55250,32961,32678,33640
55300,35080,32406,33077
55350,32192,32756,33052
55400,33472,32322,32980
55450,32400,32084,32876
55500,32800,32836,33188
55550,32417,33628,33224
55600,30264,32648,33160
55650,32412,32784,34000
55700,33280,33076,32554
55750,32212,32669,32529
55800,33440,33012,33064
55850,33280,32856,33457
55900,32574,33292,33372
55950,35656,32884,32925
56000,31952,32418,32830
56050,33684,32825,32918
56100,33932,32778,33036
56150,32048,32713,33537
56200,33316,32356,32616
56250,31132,32668,32597
56300,31256,33424,32910
56350,32292,32814,32852
56400,39652,33208,32366
56450,29680,33281,34020
56500,43548,32540,33694
56550,28364,32604,32857
56600,53800,32709,34660
56650,46680,32576,32446
56700,52356,32752,31424
56750,47096,32944,33616
56800,49156,32398,33038
56850,36810,33464,33760
56900,46400,32352,31392
56950,42080,32676,31088
57000,32496,31662,29812
57050,28136,33530,35784
57100,16177,32596,33692
57150,28144,31980,30170
57200,38176,32416,35236
57250,25038,34828,29748
57300,19380,31352,34656
57350,30904,32718,35962
57400,22072,31649,31639
57450,26532,32108,33100
57500,15236,32872,31236
57550,46428,31924,36836
57600,22314,29992,34588
57650,39088,32504,32292
57700,59008,32604,35432
57750,31640,32956,33040
57800,28172,33396,34676
57850,33212,34096,28812
57900,15089,31488,34228
